lon,lat,iso3c,city_country,city_port,population,gdp_cap,IWI,gdp,wealth,port_locode,port_name,port_status,outflows
27.479583,-11.66512,COD,Lubumbashi - Congo (Kinshasa),TRUE,1919258,799.573714742742,39.7575473042145,1534588248.60973,76304990.7239922,"","","",0
27.8285084,-12.5208893,ZMB,Brits - South Africa,FALSE,237978,3599.3118331531,30.6139140846752,856557031.430109,7285438.04604283,,,,0
28.0732899,-1.4270999,COD,Dangila - Ethiopia,FALSE,0,738.655735524364,17.9246209357579,0,0,,,,0
27.512451,-21.173522,BWA,Francistown - Botswana,TRUE,103417,14543.2987554312,51.9989190156809,1504024327.39042,5377572.20784467,"","","",0
27.6680202,-20.5540886,BWA,Kabale - Uganda,FALSE,20155,7539.82232147896,39.1327879312931,151965118.889408,788721.340755213,,,,0
27.1284389,-4.2111897,COD,Dandarah - Egypt,FALSE,0,736.68024,15.9542293277984,0,0,,,,0
27.6425991,-26.0825291,ZAF,Harrismith - South Africa,FALSE,231394,14302.4248619681,63.7068183091543,3309495298.51025,14741375.5158284,,,,0
28.423304,12.692549,SDN,An Nuhud - Sudan,TRUE,108008,3901.68807542449,18.2685907010831,421413525.650449,1973153.94444259,"","","",0
27.7893696,-31.3888893,ZAF,Ksar Chellala - Algeria,FALSE,0,11533.3545,47.9400120735559,0,0,,,,0
26.7088089,-30.6890202,ZAF,Ouenza - Algeria,FALSE,3992,11418.2875778191,69.2301764373901,45581804.0106538,276366.864338061,,,,0
27.2091789,-22.401619,BWA,Aïn Sefra - Algeria,FALSE,36211,14757.1523401724,34.9997517914611,534371243.389982,1267376.0121206,,,,0
28.48032,-24.7679691,ZAF,Marondera - Zimbabwe,FALSE,0,14249.9980885715,67.7402535222683,0,0,,,,0
27.59519,-28.3439598,ZAF,Akbou - Algeria,FALSE,0,11277.6796371867,71.1534689287692,0,0,,,,0
27.4097996,-28.6721802,ZAF,Yendi - Ghana,FALSE,0,11113.294,74.5227338096119,0,0,,,,0
27.2392101,-4.92134,COD,Ad Dabbah - Sudan,FALSE,0,736.68024,12.1837368792608,0,0,,,,0
28.0483685,-5.9893699,COD,Dungu - Congo (Kinshasa),FALSE,42589,735.283495701702,12.4818415977436,31314988.7984398,531589.151806303,,,,0
27.6308899,2.5118899,COD,Ntoum - Gabon,FALSE,0,738.833754218651,16.1674875203464,0,0,,,,0
28.0576096,-14.8817797,ZMB,Choma - Zambia,FALSE,0,3657.5593,30.5318243589162,0,0,,,,0
28.282888,-15.416774,ZMB,Lusaka - Zambia,TRUE,2467563,3670.03344363612,50.7006261769322,9056038734.27907,125106989.231029,"","","",0
28.1709595,-4.2631197,COD,Mulongo - Congo (Kinshasa),FALSE,0,736.68024,18.3487514917828,0,0,,,,0
27.6068993,1.4061899,COD,Kokstad - South Africa,FALSE,0,737.74764819199,19.7348576934524,0,0,,,,0
27.739513,11.033685,SDN,Al Mijlad - Sudan,TRUE,985000,3909.05051082443,19.243122059651,3850414753.16206,18954475.2287562,"","","",0
27.616969,2.783262,COD,Isiro - Congo (Kinshasa),TRUE,182900,738.71097572367,16.5751611273355,135110237.459859,3031596.97018966,"","","",0
27.9569988,3.29215,COD,Baham - Cameroon,FALSE,0,736.68024,11.9438936038438,0,0,,,,0
28.8814487,-23.6947899,ZAF,Râs el Oued - Algeria,FALSE,0,14295.7345980551,63.7371311890423,0,0,,,,0
28.37286,31.0409889,EGY,Mangochi - Malawi,FALSE,14212,10319.0062221785,39.8558939301735,146653716.429601,566431.964535626,,,,0
27.8033085,-26.5283585,ZAF,Koumantou - Mali,FALSE,250123,14317.494,72.1423184106512,3581134551.762,18044453.1078273,,,,0
28.2657185,-25.6441689,ZAF,’Aïn Merane - Algeria,FALSE,1040742,14317.494,71.701038927553,14900817340.548,74622282.6555394,,,,0
27.4587784,5.0455298,SSD,Tamalous - Algeria,FALSE,0,2219.81242046339,11.6170006516591,0,0,,,,0
28.000012,7.699861,SSD,Wau - South Sudan,TRUE,163442,3927.4883,21.4113570032734,641916542.7286,3499515.01132901,"","","",0
28.866557,-2.500453,COD,Bukavu - Congo (Kinshasa),TRUE,1189226,1081.00550062504,28.9441263534305,1285559847.48631,34421107.6067848,"","","",0
27.8656597,-7.5015197,COD,Knysna - South Africa,FALSE,0,736.68024,11.7804633511945,0,0,,,,0
27.9969101,3.58108,COD,Djamaa - Algeria,FALSE,0,736.68024,12.014519958268,0,0,,,,0
28.6087894,4.6964297,SSD,Banī Walīd - Libya,FALSE,45685,3906.03731650208,11.5414739123278,178447314.804398,527272.235684694,,,,0
27.7937393,-12.2053099,COD,Mweka - Congo (Kinshasa),FALSE,47213,1720.54417270819,32.5042587697042,81232052.0260718,1534623.56929404,,,,0
28.6469898,-10.4367094,ZMB,El Jem - Tunisia,FALSE,0,2867.10047166541,20.8827636303237,0,0,,,,0
29.4420395,-30.5721493,ZAF,Metema - Ethiopia,FALSE,51561,10308.3025882996,54.9908651402679,531506389.755318,2835383.99749735,,,,0
29.1329594,-28.2870598,ZAF,Tebourba - Tunisia,FALSE,52765,11024.3183028484,69.4061324250908,581698155.249798,3662214.57740992,,,,0
27.993185,2.144277,COD,Wamba - Congo (Kinshasa),TRUE,146871,736.68024,16.5288104782935,108196963.52904,2427602.92375744,"","","",0
29.0338001,1.36605,COD,Sour el Ghozlane - Algeria,FALSE,0,736.68024,18.2532709350277,0,0,,,,0
27.9163494,2.7866499,COD,Déressia - Chad,FALSE,0,736.68024,13.0587814082091,0,0,,,,0
28.045539,-26.204406,ZAF,Johannesburg - South Africa,TRUE,12282763,14317.494,80.114723964017,175858385555.922,984030167.260441,"","","",0
28.580003,-20.17009,ZWE,Bulawayo - Zimbabwe,TRUE,665940,1687.9761,53.6846533617246,1124090804.034,35750758.0597069,"","","",0
28.5738888,10.3220997,SDN,Wolossébougou - Mali,FALSE,0,3927.4883,11.0862464788427,0,0,,,,0
29.3241501,11.1403694,SDN,Ikot Okoro - Nigeria,FALSE,0,3871.9919269371,11.7941770158038,0,0,,,,0
28.899998,-19.000091,ZWE,Nkayi - Zimbabwe,TRUE,112471,1687.9761,26.5164890733181,189848359.9431,2982336.04256516,"","","",0
28.78975,-31.57988,ZAF,Mthatha - South Africa,TRUE,137772,11533.3545,56.1748152092858,1588973316.174,7739316.64101372,"","","",0
28.3385296,-12.4292192,COD,Abū Ḩamad - Sudan,FALSE,122336,2399.3509248635,33.2756008498228,293526994.744101,4070803.90556393,,,,0
28.11199,-12.7079496,ZMB,Ceel Dheere - Somalia,FALSE,504194,3663.70497525524,38.4221475263038,1847218066.29384,19372216.2498772,,,,0
29.052,-8.2165594,COD,Tukuyu - Tanzania,FALSE,0,736.68024,11.5480016008727,0,0,,,,0
28.4609795,2.64552,COD,Kahemba - Congo (Kinshasa),FALSE,0,728.897228123752,13.78943816529,0,0,,,,0
28.5691795,3.6164699,COD,Semera - Ethiopia,FALSE,52000,736.68024,14.7324505104026,38307372.48,766087.426540936,,,,0
28.684309,7.27773,SSD,Bogoso - Ghana,FALSE,17340,3927.4883,11.811671920817,68102647.122,204814.391106966,,,,0
28.3899784,-26.5619202,ZAF,Al Khārjah - Egypt,FALSE,38318,14283.8166858844,68.0867018659457,547327287.769718,2608946.24209931,,,,0
29.2476902,-25.8949394,ZAF,Chake Chake - Tanzania,FALSE,108673,14317.494,72.7461181065795,1555925025.462,7905538.89299631,,,,0
