iso3c,MAR,ESH,MRT,SEN,GMB,GNB,DZA,GIN,MLI,SLE,LBR,CIV,TUN,BFA,GHA,NER,LBY,TGO,BEN,NGA,TCD,EGY,CMR,GAB,GNQ,CAF,SDN,COG,AGO,COD,SSD,NAM,ERI,ETH,ZMB,BWA,UGA,ZAF,RWA,BDI,TZA,KEN,ZWE,MOZ,MWI,LSO,SOM,SWZ,DJI,MDG
LBR,1236909.6875,1236909.6875,1634062.5,1800729.1875,1320000,1493437.5,1526909.75,1519419.625,1418437.5,1656651.8125,0,1353050.625,1484436.375,1309687.5,1663348.1875,1486250,1457455.375,1561145.875,1464756.9375,2047232.3125,1937187.5,1992604.1875,2431484.375,1952812.5,1680937.5,1777366.0625,1966875,2203160,1952812.5,3399062.5,1728593.75,1151250,1766093.75,1565312.5,1368437.5,1124495.1875,1485507.8125,1489687.5,1273571.4375,1939419.625,2099687.5,1613750,1466354.1875,1308437.5,1212187.5,1171562.5,1804062.5,1152812.475,1743437.5,1486903.4375
CIV,684523.75,684523.75,1081676.5625,1248343.25,767614.0625,941051.5625,974523.8125,967033.6875,746051.5625,1224265.875,1235114.0625,0,932050.4375,637301.5625,990962.25,933864.0625,905069.4375,1008759.9375,912371,1494846.375,1384801.5625,1440218.25,1879098.4375,1400426.5625,1128551.5625,1224980.125,1414489.0625,1650774.0625,1400426.5625,2846676.5625,1176207.8125,598864.0625,1213707.8125,1012926.5625,816051.5625,572109.25,933121.875,937301.5625,721185.5,1387033.6875,1547301.5625,1061364.0625,913968.25,756051.5625,659801.5625,619176.5625,1251676.5625,600426.5375,1191051.5625,934517.5
TUN,694626.0625,694626.0625,1091778.875,1258445.5625,777716.375,951153.875,864626.125,1097136,876153.875,1234368.1875,1365216.375,930767,0,767403.875,1121064.5625,943966.375,795171.75,1018862.25,922473.3125,1504948.6875,1394903.875,1450320.5625,1889200.75,1410528.875,1138653.875,1235082.4375,1424591.375,1660876.375,1410528.875,2856778.875,1186310.125,608966.375,1223810.125,1023028.875,826153.875,582211.5625,943224.1875,947403.875,731287.8125,1397136,1557403.875,1071466.375,924070.5625,766153.875,669903.875,629278.875,1261778.875,610528.85,1201153.875,944619.8125
BFA,551909.6875,551909.6875,949062.5,1115729.1875,635000,808437.5,841909.75,954419.625,613437.5,1091651.8125,1222500,668050.625,799436.375,0,858348.1875,681250,772455.375,756145.875,659756.9375,1362232.3125,1252187.5,1307604.1875,1746484.375,1267812.5,995937.5,1092366.0625,1281875,1518160,1267812.5,2714062.5,1043593.75,466250,1081093.75,880312.5,683437.5,439495.1875,800507.8125,804687.5,588571.4375,1254419.625,1414687.5,928750,781354.1875,623437.5,527187.5,486562.5,1119062.5,467812.475,1058437.5,801903.4375
GHA,738472.1875,738472.1875,1135625,1302291.6875,821562.5,995000,1028472.25,1140982.125,920000,1278214.3125,1409062.5,854613.125,985998.875,691250,0,987812.5,959017.875,942708.375,966319.4375,1548794.8125,1438750,1494166.6875,1933046.875,1454375,1182500,1278928.5625,1468437.5,1704722.5,1454375,2900625,1230156.25,652812.5,1267656.25,1066875,870000,626057.6875,987070.3125,991250,775133.9375,1440982.125,1601250,1115312.5,967916.6875,810000,713750,673125,1305625,654374.975,1245000,988465.9375
NER,604027.75625,604027.75625,1001180.56875,1167847.25625,687118.06875,860555.56875,774027.81875,1006537.69375,665555.56875,1143769.88125,1274618.06875,840168.69375,851554.44375,556805.56875,1030466.25625,0,704573.44375,928263.94375,711875.00625,1294350.38125,1184305.56875,1359722.25625,1798602.44375,1319930.56875,1048055.56875,1144484.13125,1333993.06875,1570278.06875,1319930.56875,2766180.56875,1095711.81875,518368.06875,1133211.81875,932430.56875,735555.56875,491613.25625,852625.88125,856805.56875,640689.50625,1306537.69375,1466805.56875,980868.06875,833472.25625,675555.56875,579305.56875,538680.56875,1171180.56875,519930.54375,1110555.56875,854021.50625
LBY,725882.875,725882.875,1123035.6875,1289702.375,808973.1875,982410.6875,895882.9375,1128392.8125,907410.6875,1265625,1396473.1875,962023.8125,853409.5625,798660.6875,1152321.375,855223.1875,0,1050119.0625,953730.125,1536205.5,1306160.6875,1361577.375,1920457.5625,1441785.6875,1169910.6875,1266339.25,1335848.1875,1692133.1875,1441785.6875,2888035.6875,1217566.9375,640223.1875,1255066.9375,1054285.6875,857410.6875,613468.375,974481,978660.6875,762544.625,1428392.8125,1588660.6875,1102723.1875,955327.375,797410.6875,701160.6875,660535.6875,1293035.6875,641785.6625,1232410.6875,975876.625
TGO,452534.6875,452534.6875,849687.5,1016354.1875,535625,709062.5,742534.75,855044.625,634062.5,992276.8125,1123125,688675.625,700061.375,405312.5,758973.1875,701875,673080.375,0,560381.9375,1262857.3125,1152812.5,1208229.1875,1647109.375,1168437.5,896562.5,992991.0625,1182500,1418785,1168437.5,2614687.5,944218.75,366875,981718.75,780937.5,584062.5,340120.1875,701132.8125,705312.5,489196.4375,1155044.625,1315312.5,829375,681979.1875,524062.5,427812.5,387187.5,1019687.5,368437.475,959062.5,702528.4375
BEN,606805.5,606805.5,1003958.3125,1170625,689895.8125,863333.3125,896805.5625,1009315.4375,788333.3125,1146547.625,1277395.8125,842946.4375,854332.1875,559583.3125,1033244,736145.8125,827351.1875,811041.6875,0,1297128.125,1307083.3125,1362500,1801380.1875,1322708.3125,1050833.3125,1147261.875,1336770.8125,1573055.8125,1322708.3125,2768958.3125,1098489.5625,521145.8125,1135989.5625,935208.3125,738333.3125,494391,855403.625,859583.3125,643467.25,1309315.4375,1469583.3125,983645.8125,836250,678333.3125,582083.3125,541458.3125,1173958.3125,522708.2875,1113333.3125,856799.25
NGA,982668.625,982668.625,1379821.4375,1546488.125,1065758.9375,1239196.4375,1272668.6875,1385178.5625,1164196.4375,1522410.75,1653258.9375,1218809.5625,1230195.3125,1055446.4375,1409107.125,1112008.9375,1203214.3125,1306904.8125,1090515.875,0,1562946.4375,1738363.125,2057243.3125,1698571.4375,1426696.4375,1523125,1712633.9375,1948918.9375,1698571.4375,3144821.4375,1474352.6875,897008.9375,1511852.6875,1311071.4375,1114196.4375,870254.125,1231266.75,1235446.4375,1019330.375,1685178.5625,1845446.4375,1359508.9375,1212113.125,1054196.4375,957946.4375,917321.4375,1549821.4375,898571.4125,1489196.4375,1232662.375
