iso3c,MAR,ESH,MRT,SEN,GMB,GNB,DZA,GIN,MLI,SLE,LBR,CIV,TUN,BFA,GHA,NER,LBY,TGO,BEN,NGA,TCD,EGY,CMR,GAB,GNQ,CAF,SDN,COG,AGO,COD,SSD,NAM,ERI,ETH,ZMB,BWA,UGA,ZAF,RWA,BDI,TZA,KEN,ZWE,MOZ,MWI,LSO,SOM,SWZ,DJI,MDG
ZMB,4107,4107,4515,4327.99995,4590,4572,6815.571,5214.8571,5032.99995,5388,7215,5508.00066,4457.53848,5202,4512,5202,4854.8571,6696,4678.00002,7441.7145,7758,8286,8139,5076,8136,5641.7145,6048,10303.9995,4032,8460,7941,2478,5695.730775,5343.46155,0,2448.346152,5847,4617,4486.5,6490.5,9846,6366,6277.0005,2607,3531.5769,3169.5,4827,3163.166676,5166,4922.72721
BWA,1914,1914,2322,2134.99995,2397,2379,4622.571,3021.8571,2839.99995,3195,5022,3315.00066,2264.53848,3009,2319,3009,2661.8571,4503,2485.00002,5248.7145,5565,6093,5946,2883,5943,3448.7145,3855,8110.9995,2559,6987,5748,285,3502.730775,3150.46155,2415,0,3654,1704,2293.5,4297.5,8373,4173,4084.0005,1134,2058.5769,976.5,2634,970.166676,2973,2729.72721
UGA,2760,2760,3168,2980.99995,3243,3225,5468.571,3867.8571,3685.99995,4041,5868,4161.00066,3110.53848,3855,3165,3855,3507.8571,5349,3331.00002,6094.7145,6411,6939,6792,3729,6789,4294.7145,4701,8956.9995,3405,7113,5874,1851,4348.730775,3996.46155,3981,1821.346152,0,3270,2419.5,5143.5,8499,4299,5650.0005,1980,2904.5769,1822.5,3480,1816.166676,3819,3575.72721
ZAF,3519,3519,3927,3739.99995,4002,3984,6227.571,4626.8571,4444.99995,4800,6627,4920.00066,3869.53848,4614,3924,4614,4266.8571,6108,4090.00002,6853.7145,7170,7698,7551,4488,7548,5053.7145,5460,9715.9995,4164,8592,7353,1890,5107.730775,4755.46155,4740,1860.346152,5259,0,3898.5,5902.5,9978,5778,5689.0005,2019,3663.5769,1861.5,4239,1855.166676,4578,4334.72721
RWA,3160.99995,3160.99995,3568.99995,3381.9999,3643.99995,3625.99995,5869.57095,4268.85705,4086.9999,4441.99995,6268.99995,4562.00061,3511.53843,4255.99995,3565.99995,4255.99995,3908.85705,5749.99995,3731.99997,6495.71445,6811.99995,7339.99995,7192.99995,4129.99995,7189.99995,4695.71445,5101.99995,9357.99945,3805.99995,7513.99995,6994.99995,2251.99995,4749.730725,4397.4615,4381.99995,2222.346102,4180.99995,3670.99995,0,4824.49995,8899.99995,5419.99995,6051.00045,2380.99995,3305.57685,2223.49995,3880.99995,2217.166626,4219.99995,3976.72716
BDI,3331.00005,3331.00005,3739.00005,3552,3814.00005,3796.00005,6039.57105,4438.85715,4257,4612.00005,6439.00005,4732.00071,3681.53853,4426.00005,3736.00005,4426.00005,4078.85715,5920.00005,3902.00007,6665.71455,6982.00005,7510.00005,7363.00005,4300.00005,7360.00005,4865.71455,5272.00005,9527.99955,3976.00005,7684.00005,7165.00005,2422.00005,4919.730825,4567.4616,4552.00005,2392.346202,5071.00005,3841.00005,2990.50005,0,9070.00005,5590.00005,6221.00055,2551.00005,3475.57695,2393.50005,4051.00005,2387.166726,4390.00005,4146.72726
TZA,3747,3747,4155,3967.99995,4230,4212,6455.571,4854.8571,4672.99995,5028,6855,5148.00066,4097.53848,4842,4152,4842,4494.8571,6336,4318.00002,7081.7145,7398,7926,7779,4716,7776,5281.7145,5688,9943.9995,4392,8100,7581,2838,5335.730775,4983.46155,4248,2808.346152,4767,4257,3406.5,5410.5,0,5286,6637.0005,2247,3171.5769,2809.5,4467,2803.166676,4806,4562.72721
KEN,2077.5,2077.5,2485.5,2298.49995,2560.5,2542.5,4786.071,3185.3571,3003.49995,3358.5,5185.5,3478.50066,2428.03848,3172.5,2482.5,3172.5,2825.3571,4666.5,2648.50002,5412.2145,5728.5,6256.5,6109.5,3046.5,6106.5,3612.2145,4018.5,8274.4995,2722.5,7150.5,5191.5,1168.5,3666.230775,2593.96155,3298.5,1138.846152,3097.5,2587.5,2457,4461,7816.5,0,4967.5005,1297.5,2222.0769,1140,2077.5,1133.666676,3136.5,2893.22721
ZWE,3649.99995,3649.99995,4057.99995,3870.9999,4132.99995,4114.99995,6358.57095,4757.85705,4575.9999,4930.99995,6757.99995,5051.00061,4000.53843,4744.99995,4054.99995,4744.99995,4397.85705,6238.99995,4220.99997,6984.71445,7300.99995,7828.99995,7681.99995,4618.99995,7678.99995,5184.71445,5590.99995,9846.99945,4294.99995,8722.99995,7483.99995,2020.99995,5238.730725,4886.4615,4150.99995,1991.346102,5389.99995,3439.99995,4029.49995,6033.49995,10108.99995,5908.99995,0,2149.99995,3794.57685,2712.49995,4369.99995,2706.166626,4708.99995,4465.72716
MOZ,2937,2937,3345,3157.99995,3420,3402,5645.571,4044.8571,3862.99995,4218,6045,4338.00066,3287.53848,4032,3342,4032,3684.8571,5526,3508.00002,6271.7145,6588,7116,6969,3906,6966,4471.7145,4878,9133.9995,3582,8010,6771,2028,4525.730775,4173.46155,3438,1998.346152,4677,2727,3316.5,5320.5,8676,5196,5107.0005,0,2361.5769,1999.5,3657,1273.166676,3996,3752.72721
MWI,3352.76475,3352.76475,3760.76475,3573.7647,3835.76475,3817.76475,6061.33575,4460.62185,4278.7647,4633.76475,6460.76475,4753.76541,3703.30323,4447.76475,3757.76475,4447.76475,4100.62185,5941.76475,3923.76477,6687.47925,7003.76475,7531.76475,7384.76475,4321.76475,7381.76475,4887.47925,5293.76475,9549.76425,3997.76475,8425.76475,7186.76475,2443.76475,4941.495525,4589.2263,3853.76475,2414.110902,5092.76475,3862.76475,3732.26475,5736.26475,9091.76475,5611.76475,6242.76525,1852.76475,0,2415.26475,4072.76475,2408.931426,4411.76475,4168.49196
LSO,1797,1797,2205,2017.99995,2280,2262,4505.571,2904.8571,2722.99995,3078,4905,3198.00066,2147.53848,2892,2202,2892,2544.8571,4386,2368.00002,5131.7145,5448,5976,5829,2766,5826,3331.7145,3738,7993.9995,2442,6870,5631,888,3385.730775,3033.46155,3018,858.346152,3537,1587,2176.5,4180.5,8256,4056,4687.0005,1017,1941.5769,0,2517,853.166676,2856,2612.72721
SOM,2826,2826,3234,3046.99995,3309,3291,5534.571,3933.8571,3751.99995,4107,5934,4227.00066,3176.53848,3921,3231,3921,3573.8571,5415,3397.00002,6160.7145,6477,7005,6858,3795,6855,4360.7145,4767,9022.9995,3471,7899,6660,1917,4414.730775,3342.46155,4047,1887.346152,4566,3336,3205.5,5209.5,9285,4365,5716.0005,2046,2970.5769,1888.5,0,1882.166676,3165,3641.72721
SWZ,1774.666665,1774.666665,2182.666665,1995.666615,2257.666665,2239.666665,4483.237665,2882.523765,2700.666615,3055.666665,4882.666665,3175.667325,2125.205145,2869.666665,2179.666665,2869.666665,2522.523765,4363.666665,2345.666685,5109.381165,5425.666665,5953.666665,5806.666665,2743.666665,5803.666665,3309.381165,3715.666665,7971.666165,2419.666665,6847.666665,5608.666665,865.666665,3363.39744,3011.128215,2995.666665,836.012817,3514.666665,1564.666665,2154.166665,4158.166665,8233.666665,4033.666665,4664.667165,274.666665,1919.243565,837.166665,2494.666665,0,2833.666665,2590.393875
DJI,3171,3171,3579,3391.99995,3654,3636,5879.571,4278.8571,4096.99995,4452,6279,4572.00066,3521.53848,4266,3576,4266,3918.8571,5760,3742.00002,6505.7145,6822,7350,7203,4140,7200,4705.7145,5112,9367.9995,3816,8244,7005,2262,4039.730775,3687.46155,4392,2232.346152,4911,3681,3550.5,5554.5,9630,5430,6061.0005,2391,3315.5769,2233.5,3171,2227.166676,0,3986.72721
MDG,3071.72724,3071.72724,3479.72724,3292.72719,3554.72724,3536.72724,5780.29824,4179.58434,3997.72719,4352.72724,6179.72724,4472.7279,3422.26572,4166.72724,3476.72724,4166.72724,3819.58434,5660.72724,3642.72726,6406.44174,6722.72724,7250.72724,7103.72724,4040.72724,7100.72724,4606.44174,5012.72724,9268.72674,3716.72724,8144.72724,6905.72724,2162.72724,4660.458015,4308.18879,4292.72724,2133.073392,4811.72724,3581.72724,3451.22724,5455.22724,9530.72724,5330.72724,5961.72774,2291.72724,3216.30414,2134.22724,3791.72724,2127.893916,4130.72724,0
