iso3c,MAR,ESH,MRT,SEN,GMB,GNB,DZA,GIN,MLI,SLE,LBR,CIV,TUN,BFA,GHA,NER,LBY,TGO,BEN,NGA,TCD,EGY,CMR,GAB,GNQ,CAF,SDN,COG,AGO,COD,SSD,NAM,ERI,ETH,ZMB,BWA,UGA,ZAF,RWA,BDI,TZA,KEN,ZWE,MOZ,MWI,LSO,SOM,SWZ,DJI,MDG
LBR,4770,4770,5178,4990.99995,5253,5235,7478.571,5877.8571,5695.99995,6051,0,6171.00066,5120.53848,5865,5175,5865,5517.8571,7359,5341.00002,8104.7145,8421,8949,8802,5739,8799,6304.7145,6711,10966.9995,5415,9843,8604,3861,6358.730775,6006.46155,5991,3831.346152,6510,5280,5149.5,7153.5,11229,7029,7660.0005,3990,4914.5769,3832.5,5490,3826.166676,5829,5585.72721
CIV,5095.7145,5095.7145,5503.7145,5316.71445,5578.7145,5560.7145,7804.2855,6203.5716,6021.71445,6376.7145,8203.7145,0,5446.25298,6190.7145,5500.7145,6190.7145,5843.5716,7684.7145,5666.71452,8430.429,8746.7145,9274.7145,9127.7145,6064.7145,9124.7145,6630.429,7036.7145,11292.714,5740.7145,10168.7145,8929.7145,4186.7145,6684.445275,6332.17605,6316.7145,4157.060652,6835.7145,5605.7145,5475.2145,7479.2145,11554.7145,7354.7145,7985.715,4315.7145,5240.2914,4158.2145,5815.7145,4151.881176,6154.7145,5911.44171
TUN,1209,1209,1617,1429.99995,1692,1674,3917.571,2316.8571,2134.99995,2490,4317,2610.00066,0,2304,1614,2304,1956.8571,3798,1780.00002,4543.7145,4860,5388,5241,2178,5238,2743.7145,3150,7405.9995,1854,6282,5043,300,2797.730775,2445.46155,2430,270.346152,2949,1719,1588.5,3592.5,7668,3468,4099.0005,429,1353.5769,271.5,1929,265.166676,2268,2024.72721
BFA,2632.5,2632.5,3040.5,2853.49995,3115.5,3097.5,5341.071,3740.3571,3558.49995,3913.5,5740.5,4033.50066,2983.03848,0,3037.5,3727.5,3380.3571,5221.5,3203.50002,5967.2145,6283.5,6811.5,6664.5,3601.5,6661.5,4167.2145,4573.5,8829.4995,3277.5,7705.5,6466.5,1723.5,4221.230775,3868.96155,3853.5,1693.846152,4372.5,3142.5,3012,5016,9091.5,4891.5,5522.5005,1852.5,2777.0769,1695,3352.5,1688.666676,3691.5,3448.22721
GHA,3166.99998,3166.99998,3574.99998,3387.99993,3649.99998,3631.99998,5875.57098,4274.85708,4092.99993,4447.99998,6274.99998,4568.00064,3517.53846,4261.99998,0,4261.99998,3914.85708,5755.99998,3738,6501.71448,6817.99998,7345.99998,7198.99998,4135.99998,7195.99998,4701.71448,5107.99998,9363.99948,3811.99998,8239.99998,7000.99998,2257.99998,4755.730755,4403.46153,4387.99998,2228.346132,4906.99998,3676.99998,3546.49998,5550.49998,9625.99998,5425.99998,6057.00048,2386.99998,3311.57688,2229.49998,3886.99998,2223.166656,4225.99998,3982.72719
NER,2035.00002,2035.00002,2443.00002,2255.99997,2518.00002,2500.00002,4743.57102,3142.85712,2960.99997,3316.00002,5143.00002,3436.00068,2385.5385,3130.00002,2440.00002,0,2782.85712,4624.00002,2606.00004,5369.71452,5686.00002,6214.00002,6067.00002,3004.00002,6064.00002,3569.71452,3976.00002,8231.99952,2680.00002,7108.00002,5869.00002,1126.00002,3623.730795,3271.46157,3256.00002,1096.346172,3775.00002,2545.00002,2414.50002,4418.50002,8494.00002,4294.00002,4925.00052,1255.00002,2179.57692,1097.50002,2755.00002,1091.166696,3094.00002,2850.72723
LBY,2523,2523,2931,2743.99995,3006,2988,5231.571,3630.8571,3448.99995,3804,5631,3924.00066,2873.53848,3618,2928,3618,0,5112,3094.00002,5857.7145,6174,6702,6555,3492,6552,4057.7145,4464,8719.9995,3168,7596,6357,1614,4111.730775,3759.46155,3744,1584.346152,4263,3033,2902.5,4906.5,8982,4782,5413.0005,1743,2667.5769,1585.5,3243,1579.166676,3582,3338.72721
TGO,2082,2082,2490,2302.99995,2565,2547,4790.571,3189.8571,3007.99995,3363,5190,3483.00066,2432.53848,3177,2487,3177,2829.8571,0,2653.00002,5416.7145,5733,6261,6114,3051,6111,3616.7145,4023,8278.9995,2727,7155,5916,1173,3670.730775,3318.46155,3303,1143.346152,3822,2592,2461.5,4465.5,8541,4341,4972.0005,1302,2226.5769,1144.5,2802,1138.166676,3141,2897.72721
BEN,2469,2469,2877,2689.99995,2952,2934,5177.571,3576.8571,3394.99995,3750,5577,3870.00066,2819.53848,3564,2874,3564,3216.8571,5058,0,5803.7145,6120,6648,6501,3438,6498,4003.7145,4410,8665.9995,3114,7542,6303,1560,4057.730775,3705.46155,3690,1530.346152,4209,2979,2848.5,4852.5,8928,4728,5359.0005,1689,2613.5769,1531.5,3189,1525.166676,3528,3284.72721
NGA,3381.429,3381.429,3789.429,3602.42895,3864.429,3846.429,6090,4489.2861,4307.42895,4662.429,6489.429,4782.42966,3731.96748,4476.429,3786.429,4476.429,4129.2861,5970.429,3952.42902,0,7032.429,7560.429,7413.429,4350.429,7410.429,4916.1435,5322.429,9578.4285,4026.429,8454.429,7215.429,2472.429,4970.159775,4617.89055,4602.429,2442.775152,5121.429,3891.429,3760.929,5764.929,9840.429,5640.429,6271.4295,2601.429,3526.0059,2443.929,4101.429,2437.595676,4440.429,4197.15621
TCD,3123,3123,3531,3343.99995,3606,3588,5831.571,4230.8571,4048.99995,4404,6231,4524.00066,3473.53848,4218,3528,4218,3870.8571,5712,3694.00002,6457.7145,0,7302,7155,4092,7152,4657.7145,5064,9319.9995,3768,8196,6957,2214,4711.730775,4359.46155,4344,2184.346152,4863,3633,3502.5,5506.5,9582,5382,6013.0005,2343,3267.5769,2185.5,3843,2179.166676,4182,3938.72721
EGY,2259,2259,2667,2479.99995,2742,2724,4967.571,3366.8571,3184.99995,3540,5367,3660.00066,2609.53848,3354,2664,3354,3006.8571,4848,2830.00002,5593.7145,5910,0,6291,3228,6288,3793.7145,4200,8455.9995,2904,7332,6093,1350,3847.730775,3495.46155,3480,1320.346152,3999,2769,2638.5,4642.5,8718,4518,5149.0005,1479,2403.5769,1321.5,2979,1315.166676,3318,3074.72721
CMR,4437,4437,4845,4657.99995,4920,4902,7145.571,5544.8571,5362.99995,5718,7545,5838.00066,4787.53848,5532,4842,5532,5184.8571,7026,5008.00002,7771.7145,8088,8616,0,5406,8466,5971.7145,6378,10633.9995,5082,9510,8271,3528,6025.730775,5673.46155,5658,3498.346152,6177,4947,4816.5,6820.5,10896,6696,7327.0005,3657,4581.5769,3499.5,5157,3493.166676,5496,5252.72721
GAB,2811,2811,3219,3031.99995,3294,3276,5519.571,3918.8571,3736.99995,4092,5919,4212.00066,3161.53848,3906,3216,3906,3558.8571,5400,3382.00002,6145.7145,6462,6990,6843,0,6840,4345.7145,4752,9007.9995,3456,7884,6645,1902,4399.730775,4047.46155,4032,1872.346152,4551,3321,3190.5,5194.5,9270,5070,5701.0005,2031,2955.5769,1873.5,3531,1867.166676,3870,3626.72721
