iso3c,MAR,ESH,MRT,SEN,GMB,GNB,DZA,GIN,MLI,SLE,LBR,CIV,TUN,BFA,GHA,NER,LBY,TGO,BEN,NGA,TCD,EGY,CMR,GAB,GNQ,CAF,SDN,COG,AGO,COD,SSD,NAM,ERI,ETH,ZMB,BWA,UGA,ZAF,RWA,BDI,TZA,KEN,ZWE,MOZ,MWI,LSO,SOM,SWZ,DJI,MDG
SSD,813003.4375,813003.4375,1210156.25,1376822.9375,896093.75,1069531.25,1103003.5,1215513.375,994531.25,1352745.5625,1483593.75,1049144.375,1060530.125,885781.25,1239441.9375,1062343.75,1033549.125,1137239.625,1040850.6875,1623326.0625,1513281.25,1568697.9375,2007578.125,1528906.25,1257031.25,1353459.8125,1542968.75,1779253.75,1528906.25,2975156.25,0,727343.75,1342187.5,1141406.25,944531.25,700588.9375,1061601.5625,1065781.25,849665.1875,1515513.375,1675781.25,1189843.75,1042447.9375,884531.25,788281.25,747656.25,1380156.25,728906.225,1319531.25,1062997.1875
NAM,898159.6875,898159.6875,1295312.5,1461979.1875,981250,1154687.5,1188159.75,1300669.625,1079687.5,1437901.8125,1568750,1134300.625,1145686.375,970937.5,1324598.1875,1147500,1118705.375,1222395.875,1126006.9375,1708482.3125,1598437.5,1653854.1875,2092734.375,1614062.5,1342187.5,1438616.0625,1628125,1864410,1614062.5,3060312.5,1389843.75,0,1427343.75,1226562.5,1029687.5,785745.1875,1146757.8125,1150937.5,934821.4375,1600669.625,1760937.5,1275000,1127604.1875,969687.5,873437.5,832812.5,1465312.5,814062.475,1404687.5,1148153.4375
ERI,759253.4375,759253.4375,1156406.25,1323072.9375,842343.75,1015781.25,1049253.5,1161763.375,940781.25,1298995.5625,1429843.75,995394.375,1006780.125,832031.25,1185691.9375,1008593.75,979799.125,1083489.625,987100.6875,1569576.0625,1459531.25,1514947.9375,1953828.125,1475156.25,1203281.25,1299709.8125,1489218.75,1725503.75,1475156.25,2921406.25,1250937.5,673593.75,0,1087656.25,890781.25,646838.9375,1007851.5625,1012031.25,795915.1875,1461763.375,1622031.25,1136093.75,988697.9375,830781.25,734531.25,693906.25,1326406.25,675156.225,1265781.25,1009247.1875
ETH,431909.6875,431909.6875,829062.5,995729.1875,515000,688437.5,721909.75,834419.625,613437.5,971651.8125,1102500,668050.625,679436.375,504687.5,858348.1875,681250,652455.375,756145.875,659756.9375,1242232.3125,1132187.5,1187604.1875,1626484.375,1147812.5,875937.5,972366.0625,1161875,1398160,1147812.5,2594062.5,923593.75,346250,961093.75,0,563437.5,319495.1875,680507.8125,684687.5,468571.4375,1134419.625,1294687.5,808750,661354.1875,503437.5,407187.5,366562.5,999062.5,347812.475,938437.5,681903.4375
ZMB,571597.1875,571597.1875,968750,1135416.6875,654687.5,828125,861597.25,974107.125,753125,1111339.3125,1242187.5,807738.125,819123.875,644375,998035.6875,820937.5,792142.875,895833.375,799444.4375,1381919.8125,1271875,1327291.6875,1766171.875,1287500,1015625,1112053.5625,1301562.5,1537847.5,1287500,2733750,1063281.25,485937.5,1100781.25,9e+05,0,459182.6875,820195.3125,824375,608258.9375,1274107.125,1434375,948437.5,801041.6875,643125,546875,506250,1138750,487499.975,1078125,821590.9375
BWA,525203,525203,922355.8125,1089022.5,608293.3125,781730.8125,815203.0625,927712.9375,706730.8125,1064945.125,1195793.3125,761343.9375,772729.6875,597980.8125,951641.5,774543.3125,745748.6875,849439.1875,753050.25,1335525.625,1225480.8125,1280897.5,1719777.6875,1241105.8125,969230.8125,1065659.375,1255168.3125,1491453.3125,1241105.8125,2687355.8125,1016887.0625,439543.3125,1054387.0625,853605.8125,656730.8125,0,773801.125,777980.8125,561864.75,1227712.9375,1387980.8125,902043.3125,754647.5,596730.8125,500480.8125,459855.8125,1092355.8125,441105.7875,1031730.8125,775196.75
UGA,409878.4375,409878.4375,807031.25,973697.9375,492968.75,666406.25,699878.5,812388.375,591406.25,949620.5625,1080468.75,646019.375,657405.125,482656.25,836316.9375,659218.75,630424.125,734114.625,637725.6875,1220201.0625,1110156.25,1165572.9375,1604453.125,1125781.25,853906.25,950334.8125,1139843.75,1376128.75,1125781.25,2572031.25,901562.5,324218.75,939062.5,738281.25,541406.25,297463.9375,0,662656.25,446540.1875,1112388.375,1272656.25,786718.75,639322.9375,481406.25,385156.25,344531.25,977031.25,325781.225,916406.25,659872.1875
ZAF,1035347.1875,1035347.1875,1432500,1599166.6875,1118437.5,1291875,1325347.25,1437857.125,1216875,1575089.3125,1705937.5,1271488.125,1282873.875,1108125,1461785.6875,1284687.5,1255892.875,1359583.375,1263194.4375,1845669.8125,1735625,1791041.6875,2229921.875,1751250,1479375,1575803.5625,1765312.5,2001597.5,1751250,3197500,1527031.25,949687.5,1564531.25,1363750,1166875,922932.6875,1283945.3125,0,1072008.9375,1737857.125,1898125,1412187.5,1264791.6875,1106875,1010625,970000,1602500,951249.975,1541875,1285340.9375
RWA,398680.5,398680.5,795833.3125,962500,481770.8125,655208.3125,688680.5625,801190.4375,580208.3125,938422.625,1069270.8125,634821.4375,646207.1875,471458.3125,825119,648020.8125,619226.1875,722916.6875,626527.75,1209003.125,1098958.3125,1154375,1593255.1875,1114583.3125,842708.3125,939136.875,1128645.8125,1364930.8125,1114583.3125,2560833.3125,890364.5625,313020.8125,927864.5625,727083.3125,530208.3125,286266,647278.625,651458.3125,0,1101190.4375,1261458.3125,775520.8125,628125,470208.3125,373958.3125,333333.3125,965833.3125,314583.2875,905208.3125,648674.25
BDI,377132.875,377132.875,774285.6875,940952.375,460223.1875,633660.6875,667132.9375,779642.8125,558660.6875,916875,1047723.1875,613273.8125,624659.5625,449910.6875,803571.375,626473.1875,597678.5625,701369.0625,604980.125,1187455.5,1077410.6875,1132827.375,1571707.5625,1093035.6875,821160.6875,917589.25,1107098.1875,1343383.1875,1093035.6875,2539285.6875,868816.9375,291473.1875,906316.9375,705535.6875,508660.6875,264718.375,625731,629910.6875,413794.625,0,1239910.6875,753973.1875,606577.375,448660.6875,352410.6875,311785.6875,944285.6875,293035.6625,883660.6875,627126.625
TZA,1121597.1875,1121597.1875,1518750,1685416.6875,1204687.5,1378125,1411597.25,1524107.125,1303125,1661339.3125,1792187.5,1357738.125,1369123.875,1194375,1548035.6875,1370937.5,1342142.875,1445833.375,1349444.4375,1931919.8125,1821875,1877291.6875,2316171.875,1837500,1565625,1662053.5625,1851562.5,2087847.5,1837500,3283750,1613281.25,1035937.5,1650781.25,1450000,1253125,1009182.6875,1370195.3125,1374375,1158258.9375,1824107.125,0,1498437.5,1351041.6875,1193125,1096875,1056250,1688750,1037499.975,1628125,1371590.9375
KEN,423472.1875,423472.1875,820625,987291.6875,506562.5,680000,713472.25,825982.125,605000,963214.3125,1094062.5,659613.125,670998.875,496250,849910.6875,672812.5,644017.875,747708.375,651319.4375,1233794.8125,1123750,1179166.6875,1618046.875,1139375,867500,963928.5625,1153437.5,1389722.5,1139375,2585625,915156.25,337812.5,952656.25,751875,555000,311057.6875,672070.3125,676250,460133.9375,1125982.125,1286250,0,652916.6875,495000,398750,358125,990625,339374.975,930000,673465.9375
ZWE,499722.1875,499722.1875,896875,1063541.6875,582812.5,756250,789722.25,902232.125,681250,1039464.3125,1170312.5,735863.125,747248.875,572500,926160.6875,749062.5,720267.875,823958.375,727569.4375,1310044.8125,1200000,1255416.6875,1694296.875,1215625,943750,1040178.5625,1229687.5,1465972.5,1215625,2661875,991406.25,414062.5,1028906.25,828125,631250,387307.6875,748320.3125,752500,536383.9375,1202232.125,1362500,876562.5,0,571250,475000,434375,1066875,415624.975,1006250,749715.9375
MOZ,691388.875,691388.875,1088541.6875,1255208.375,774479.1875,947916.6875,981388.9375,1093898.8125,872916.6875,1231131,1361979.1875,927529.8125,938915.5625,764166.6875,1117827.375,940729.1875,911934.5625,1015625.0625,919236.125,1501711.5,1391666.6875,1447083.375,1885963.5625,1407291.6875,1135416.6875,1231845.25,1421354.1875,1657639.1875,1407291.6875,2853541.6875,1183072.9375,605729.1875,1220572.9375,1019791.6875,822916.6875,578974.375,939987,944166.6875,728050.625,1393898.8125,1554166.6875,1068229.1875,920833.375,0,666666.6875,626041.6875,1258541.6875,607291.6625,1197916.6875,941382.625
MWI,580788.375,580788.375,977941.1875,1144607.875,663878.6875,837316.1875,870788.4375,983298.3125,762316.1875,1120530.5,1251378.6875,816929.3125,828315.0625,653566.1875,1007226.875,830128.6875,801334.0625,905024.5625,808635.625,1391111,1281066.1875,1336482.875,1775363.0625,1296691.1875,1024816.1875,1121244.75,1310753.6875,1547038.6875,1296691.1875,2742941.1875,1072472.4375,495128.6875,1109972.4375,909191.1875,712316.1875,468373.875,829386.5,833566.1875,617450.125,1283298.3125,1443566.1875,957628.6875,810232.875,652316.1875,0,515441.1875,1147941.1875,496691.1625,1087316.1875,830782.125
LSO,365347.1875,365347.1875,762500,929166.6875,448437.5,621875,655347.25,767857.125,546875,905089.3125,1035937.5,601488.125,612873.875,438125,791785.6875,614687.5,585892.875,689583.375,593194.4375,1175669.8125,1065625,1121041.6875,1559921.875,1081250,809375,905803.5625,1095312.5,1331597.5,1081250,2527500,857031.25,279687.5,894531.25,693750,496875,252932.6875,613945.3125,618125,402008.9375,1067857.125,1228125,742187.5,594791.6875,436875,340625,0,932500,281249.975,871875,615340.9375
