city_port,population,city_country,IWI,gdp_cap,gdp,wealth,iso3c,port_locode,port_name,port_status,outflows,lon,lat
TRUE,262712,Ed Damer - Sudan,32.8786171590679,3938.09769217726,1034585520.90727,8637607.27109304,SDN,"","","",,33.960001,17.590007
FALSE,420889,Cuchi - Angola,58.7362002963959,9872.65757331485,4155292973.37491,24721420.6065498,EGY,,,,,31.6875401,30.2183094
FALSE,28445,Chefchaouene - Morocco,24.5510298635941,3657.5593,104039274.2885,698354.044469935,ZMB,,,,,31.44133,-11.8507099
FALSE,98416,Al Badārī - Egypt,29.8781644043334,3377.76480256878,332426100.809609,2940489.42801688,ZMB,,,,,32.6210899,-13.6216898
TRUE,459785,Ismailia - Egypt,56.5488167862867,10844.8636542021,4986305635.24733,26000297.7260828,EGY,"","","",,32.266706,30.583262
FALSE,0,Bukama - Congo (Kinshasa),17.4886702736358,3648.24917273916,0,0,ZMB,,,,,31.2887497,-11.1731796
FALSE,0,Musina - South Africa,24.7985418806282,3657.5593,0,0,ZMB,,,,,31.8253689,-11.22509
FALSE,64010,Meru - Kenya,21.8146935541802,1717.8292,109958247.092,1396358.53440307,UGA,,,,,32.01651,1.77573
TRUE,2924766,Kampala - Uganda,45.1528683878094,1774.51916362275,5190053316.11225,132061574.26314,UGA,"","","",,32.581041,0.313289
FALSE,47208,Quinhámel - Guinea-Bissau,26.0549992234676,3007.5838374533,141982017.798496,1230004.40334146,TZA,,,,,32.7739487,-9.3088102
FALSE,0,Cabo Bojador - Morocco,43.830593911975,8071.93862834978,0,0,SWZ,,,,,31.8822994,-26.7528496
FALSE,6381,Kafr al Kurdī - Egypt,47.2650059240471,7865.69566140028,50191004.0153952,301598.002801345,SWZ,,,,,31.8899689,-26.4176903
FALSE,4295,Webuye - Kenya,16.8322216063672,1717.8292,7378076.414,72294.3917993471,UGA,,,,,31.8860989,2.5373299
FALSE,0,Sidi Mohamed Lahmar - Morocco,36.0071035171857,9851.81828873885,0,0,EGY,,,,,32.0716896,26.8684902
TRUE,167727,Empangeni - South Africa,62.6683631001916,9653.05823702387,1619078498.9213,10511176.5377058,ZAF,ZARCB,Richards Bay,AF,164538.86664,31.899203,-28.751731
TRUE,315351,Bor - South Sudan,17.3115900924952,3899.49194035294,1229708682.88224,5459227.24725847,SSD,"","","",,31.560912,6.212419
FALSE,0,Mondoro - Mali,14.7642846364972,3927.4883,0,0,SSD,,,,,31.9162884,4.7061501
FALSE,0,El Affroun - Algeria,10.1537536614059,3862.86757995663,0,0,SSD,,,,,31.9825401,4.3657799
TRUE,147450,Malakal - South Sudan,18.680323694513,3882.99638316021,572547816.696973,2754413.72875594,SSD,"","","",,31.649405,9.549781
FALSE,0,Fianga - Chad,19.9171103630901,3927.4883,0,0,SSD,,,,,32.562851,10.3967495
FALSE,0,Nyunzu - Congo (Kinshasa),45.2516558993572,10452.0860742226,0,0,EGY,,,,,32.0924301,30.0643291
TRUE,1000,Sokhna Port - NA,51.1464787325821,10700.0255118618,10700025.5118618,51146.4787325821,EGY,EGSOK,Sokhna Port,RQ,3639356.73184,32.358537,29.654246
FALSE,276363,Hwange - Zimbabwe,54.4983613095973,8851.5127551445,2446230619.55,15061330.6266042,EGY,,,,,32.7134399,26.1707897
TRUE,894850,Port Said - Egypt,53.878739040682,10963.3139147479,9810521456.61216,48213389.6305543,EGY,EGPSD,Port Said,AI,30580671.80589,32.30614,31.262553
FALSE,0,Itapa-Ekiti - Nigeria,18.4868707988267,778.702258865085,0,0,MOZ,,,,,33.26968,-16.8367596
