from,to,passes,gravity,gravity_rd,gravity_dur,log10_gravity,distance,duration,sp_distance,from_ctry,to_ctry,border_dist,border_time,total_dist,total_time,rugg,pop_wpop,pop_wpop_km2,cost_km,speed_kmh,speed_kmh_imp,duration_imp,MA_100_min_speed,MA_100_min_speed_perc,MA_100_min_speed_bt,MA_100_min_speed_bt_perc,MA_100_min_speed_bt_ratio,MA_100_min_speed_bt_perc_ratio,total_time_imp,MA_100_min_speed_bt_opt,MA_100_min_speed_bt_opt_perc,MA_100_min_speed_bt_opt_ratio,MA_100_min_speed_bt_opt_perc_ratio,upgrade_cat,ug_cost_km,MA_gain_pusd,MA_gain_pusd_bt,MA_gain_pusd_bt_opt,consensus,MA_gain_pusd_cons
12,14,11,7.21428202342612,4.69430674116905,5.0658329865055,0.858193115917423,140541,132.1,110483.824815583,SEN,GMB,900140.5,2865.90885,1040681.5,2998.00885,40178.83984375,49797.4453125,66.7090177353752,548900.332393329,63.8339137017411,100,84.3246,1667488049551.07,0.00181544299902026,936250927765.171,0.00101467250424037,0.313816867499163,0.558911794414893,2950.23345,782630324162.47,0.0000339217622435939,0.00876995704834181,0.018685115567881,Mixed Works,295491.345605075,0.728936434725498,0.228752548551564,0.00639274122351404,FALSE,0.321360574833526
12,18,17,15.7947210577253,10.3660317884726,10.8067719838858,1.1985119604621,177611,163.9,126741.963273292,SEN,GNB,1059185.625,2957.9091,1236796.625,3121.8091,45478.99609375,394273.3125,453.795842954742,655029.046524511,65.0192800488103,100,106.5666,1667481299862.23,0.00141065380863115,936242253642.405,0.0000881889598014496,0.03510158949224,0.0625163730901669,3064.4757,782630093588.472,0.0000044603333471116,0.00148405005843923,0.00316189083375443,Mixed Works,352623.970045695,0.375572341218877,0.0131831861461045,0.000557368154934033,FALSE,0.129770965173305
13,19,9,2.52867945150856,1.71464380974369,1.70227687684617,0.402893779417839,58066,51.45,55200.9612340076,SEN,SEN,0,0,58066,51.45,18504.466796875,144883.984375,383.729680145752,579722.65948433,67.7154518950437,100,34.8396,1667476503275.18,0.00112299512762259,936252998079.488,0.00123580289386194,0.617880293940023,1.10045258742855,34.8396,782640670450.596,0.0013559113805961,0.566702478513668,1.20740628987999,Mixed Works,312084.031689064,1.03333052835476,0.63847457059704,0.585590971542482,FALSE,0.752465356831428
13,14,45,34.7247794735711,23.0575023718001,25.2421854437809,1.5406394963473,85947,79.15,80618.0553436747,SEN,GMB,900140.5,2865.90885,986087.5,2945.05885,26030.427734375,228889.453125,423.076048937042,608974.809044293,65.1524952621605,100,51.5682,1667497241168.21,0.00236667837387738,936249398703.564,0.000851353347286477,0.201977789181824,0.359724987004332,2917.47705,782630221361.07,0.0000207863862788926,0.00412231741737409,0.00878293667121224,Mixed Works,327831.438868844,1.40059562738365,0.282889208356679,0.0057736997494616,FALSE,0.563086178496596
13,20,75,73.9984518010125,57.6445289890849,69.9197761538145,1.86922263349705,61198,53.9,57544.8184023604,SEN,SEN,0,0,61198,53.9,20802.017578125,173380.890625,439.056833566968,594675.098976432,68.1239332096475,100,36.7188,1667506810034.88,0.00294053798253202,936260668376.192,0.00205506771966402,0.392403030405676,0.698874740565143,36.7188,782646916958.617,0.00215405450731954,0.343820346243292,0.732537556091942,Mixed Works,320133.428282312,2.5027264563395,0.98207744574408,0.860488276770894,FALSE,1.44843072628483
8,21,194,44.8257828692102,30.5789099079467,39.0848693536242,1.65152788312678,253872.5,187.3,243802.84993095,MRT,MRT,0,0,253872.5,187.3,1469.60595703125,632116.3125,359.819514648917,425444.205518906,81.3259476775227,100,152.3235,1667699254004.49,0.0144816979545492,936318233917.517,0.00820364645204297,0.318068352237311,0.566483742292519,152.3235,782656011337.124,0.00331608226304958,0.107475008631214,0.228984354835814,Asphalt Mix Resurfacing,100688.461972808,9.44667478067474,3.00468828161097,1.01528145358929,TRUE,4.48888150529167
9,22,121,17.7757420667233,12.9378349130086,15.9640548793235,1.24982773985222,42678.5,38.05,34068.4933407483,ESH,ESH,0,0,42678.5,38.05,44742.5390625,90692.7578125,379.379802581326,718763.81361491,67.2985545335085,100,25.6071,1667471393590.53,0.000816559503369341,936251974420.131,0.00112646577987707,0.774574462094357,1.37952687492948,25.6071,782640236121,0.00130041522481417,0.747473647298843,1.59255414877704,Mixed Works,386934.519662693,0.82451025213406,0.638644585038022,0.616299685397935,FALSE,0.693151507523339
17,19,94,25.225632143072,18.195802134102,20.7255527065022,1.40184205827101,74105.5,70.6,55412.068651568,SEN,SEN,0,0,74105.5,70.6,17662.203125,205954.1875,541.085821327963,593540.04069491,62.979178470255,100,44.4633,1667516948182.53,0.00354853824393597,936270930793.198,0.00315119706184586,0.498607815136565,0.88802680011435,44.4633,782656227613.313,0.00334371679955314,0.442264087212403,0.942280051586637,Mixed Works,319522.388574093,2.49892142182544,1.24598175033434,1.10518320163915,TRUE,1.61669545793298
8,16,88,41.4833344622744,30.8502586891283,30.785243254457,1.61787365804398,206360.5,296.25,175854.335491933,MRT,MRT,0,0,206360.5,296.25,2211.6689453125,679090.9375,565.827669347057,464321.299253187,41.7945316455696,100,123.8163,1667699924936.42,0.0145219347717607,936305641488.414,0.00685864838567696,0.265183846546748,0.472295771429457,123.8163,782669264319.019,0.0050094726137262,0.161908333666737,0.344959035587159,Upgrade,393125.366701032,2.98484434425863,0.79153250455381,0.483271174033499,FALSE,1.41988267428198
16,23,11,1.08748810307339,0.731356530095172,0.868313969540272,0.0364245145482006,194882,138.35,167872.131266914,MRT,MRT,0,0,194882,138.35,2602.02954101563,100919.578125,93.6164932941233,406633.825152235,84.5169497650885,100,116.9292,1667467493543.97,0.00058266773013127,936244177322.079,0.00029365729485864,0.282978106434341,0.503987572458289,116.9292,782631646980.284,0.000202943869065386,0.163476995639167,0.348301199072179,Asphalt Mix Resurfacing,96236.6719526953,0.518040230839961,0.146594043579901,0.0846876605579374,FALSE,0.249773978325933
16,24,74,6.98280948446738,5.16406657886717,6.28302718302567,0.844030193126046,228693,256.1,201913.890850423,MRT,SEN,1159498.125,2481.384135,1388191.125,2737.484135,3076.7109375,85893.578125,62.1326028737449,400867.47503926,53.578992581023,100,137.2158,1667489858544.21,0.00192393109148536,936249609207.211,0.000873837253800858,0.255019888380242,0.454193633892685,2618.599935,782630086500.443,0.00000355466547308225,0.000867183290845676,0.0018476053995977,Upgrade,339401.128866574,0.413312180956099,0.105402826253619,0.000358417417228114,FALSE,0.173024474875649
